stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
2446,0,0 days 03:07:16.575557892,TSSM,1,N,A
6655,0,0 days 03:07:16.575573489,MAXM,1,N,A
2789,0,0 days 03:07:16.575587916,NITE,1,N,A
3345,0,0 days 03:07:16.575601794,SOHO,1,N,A
630,0,0 days 03:07:16.575615164,SOHO,1,N,A
6831,0,0 days 03:07:16.575628698,SOHO,1,N,A
6437,0,0 days 03:07:16.575642042,VALX,1,N,A
4578,0,0 days 03:07:16.575655658,WBLR,1,N,A
5551,0,0 days 03:07:16.575669715,WCHV,1,N,A
5179,0,0 days 03:07:16.575683132,BARD,1,N,A
4499,0,0 days 03:07:16.575696792,BBNT,1,N,A
7316,0,0 days 03:07:16.575710688,COWN,1,N,A
2031,0,0 days 03:07:16.575724582,CTDL,1,N,A
968,0,0 days 03:07:16.575738150,MLCO,1,N,A
4576,0,0 days 03:07:16.575751780,NITE,1,N,A
6928,0,0 days 03:07:16.575765079,RAJA,1,N,A
406,0,0 days 03:07:16.575779973,STFL,1,N,A
3116,0,0 days 03:07:16.575794977,TSSM,1,N,A
6464,0,0 days 03:07:16.575808929,UBSS,1,N,A
6595,0,0 days 03:07:16.575821950,VALX,1,N,A
8159,0,0 days 03:07:16.575835558,XGWD,1,N,A
5657,0,0 days 03:07:16.575848663,CSTI,1,N,A
8714,0,0 days 03:07:16.575862290,GTSM,1,N,A
2690,0,0 days 03:07:16.575876668,INTL,1,N,A
3608,0,0 days 03:07:16.575890360,MLCO,1,N,A
2476,0,0 days 03:07:16.575903430,SGAS,1,N,A
4647,0,0 days 03:07:16.575917333,RBCM,1,N,A
5470,0,0 days 03:07:16.575931091,STFL,1,N,A
57,0,0 days 03:07:16.575944300,VALX,1,N,A
5315,0,0 days 03:07:16.575958181,CDRG,1,N,A
8040,0,0 days 03:07:16.575972025,CSTI,1,N,A
2888,0,0 days 03:07:16.575985285,CTDL,1,N,A
6302,0,0 days 03:07:16.575999616,ETMM,1,N,A
5158,0,0 days 03:07:16.576014970,JPMS,1,N,A
7753,0,0 days 03:07:16.576028727,KEYB,1,N,A
8436,0,0 days 03:07:16.576042226,WABR,1,N,A
2905,0,0 days 03:07:16.576055737,NITE,1,N,A
6,0,0 days 03:07:16.576069006,MSCO,1,N,A
6964,0,0 days 03:07:16.576082936,RBCM,1,N,A
2575,0,0 days 03:07:16.576096807,RBCM,1,N,A
4759,0,0 days 03:07:16.576110441,STFL,1,N,A
5405,0,0 days 03:07:16.576124781,STXG,1,N,A
1513,0,0 days 03:07:16.576138299,CANT,1,N,A
5974,0,0 days 03:07:16.576151638,BKCM,1,N,A
2079,0,0 days 03:07:16.576164567,CHLM,1,N,A
6745,0,0 days 03:07:16.576180979,COWN,1,N,A
1312,0,0 days 03:07:16.576194284,CTDL,1,N,A
7159,0,0 days 03:07:16.576208248,GTSM,1,N,A
4302,0,0 days 03:07:16.576222870,SUFI,1,N,A
3431,0,0 days 03:07:16.576238515,UBSS,1,N,A
1864,0,0 days 03:07:16.576251664,MSCO,1,N,A
752,0,0 days 03:07:16.576264736,RAJA,1,N,A
5110,0,0 days 03:07:16.576283547,RBCM,1,N,A
6393,0,0 days 03:07:16.576297937,SOHO,1,N,A
5185,0,0 days 03:07:16.576311447,SOHO,1,N,A
553,0,0 days 03:07:16.576325333,STFL,1,N,A
7683,0,0 days 03:07:16.576339326,HOVD,1,N,A
728,0,0 days 03:07:16.576353427,IMCC,1,N,A
5979,0,0 days 03:07:16.576367532,IMCC,1,N,A
5253,0,0 days 03:07:16.576380637,JEFF,1,N,A
7735,0,0 days 03:07:16.576394016,KEYB,1,N,A
8407,0,0 days 03:07:16.576407201,MLCO,1,N,A
5133,0,0 days 03:07:16.576420997,CANT,1,N,A
6087,0,0 days 03:07:16.576434603,COWN,1,N,A
3572,0,0 days 03:07:16.576448376,CTDL,1,N,A
7542,0,0 days 03:07:16.576463745,CTDL,1,N,A
8547,0,0 days 03:07:16.576477536,ETMM,1,N,A
7090,0,0 days 03:07:16.576491043,ETMM,1,N,A
6752,0,0 days 03:07:16.576505081,GTSM,1,N,A
3865,0,0 days 03:07:16.576520707,JEFF,1,N,A
8300,0,0 days 03:07:16.576533950,KBWI,1,N,A
5725,0,0 days 03:07:16.576547746,SGAS,1,N,A
